Source,RA,Dec,SpType 2019-04-20,Solar Analog,gmag,J mag,H mag,K mag,RA (deg),Dec (deg)
G-31-g-r=0.42,08 00 14.2126,-10 47 29.4676,G1 V,Y,18.16,16.67,16.309,16.254,120.0592192,-10.79151878
G-33-g-r=0.44,08 00 12.0017,-10 47 05.3198,G2 V,Y,18.36,16.777,16.405,16.337,120.0500071,-10.78481106
G-22-g-r=0.42,08 00 03.0715,-10 48 13.6209,G2 V,Y,18.2118,16.652,16.272,16.18,120.0127979,-10.80378358
G-34-g-r=0.44,08 00 08.1455,-10 46 23.5241,G2 V,Y,18.2697,16.785,16.414,16.332,120.0339396,-10.77320114
G-52-g-r=0.44,08 00 05.6251,-10 45 58.1865,G1 V,Y,18.2831,16.762,16.395,16.338,120.0234379,-10.76616292
G-72-g-r=0.44,07 59 51.8009,-10 47 11.2551,G2 V,Y,18.3524,16.804,16.447,16.355,119.9658371,-10.78645975
G-71-g-r=0.42,07 59 59.3536,-10 44 42.7098,G2 V,Y,18.113,16.631,16.289,16.217,119.9973067,-10.74519717
G-67-g-r=0.42,07 59 55.3641,-10 45 19.7003,G3 V,Y,18.2073,16.708,16.355,16.266,119.9806837,-10.75547231
G-85-g-r=0.43,07 59 51.1617,-10 45 15.6334,G2 V,Y,18.2544,16.687,16.328,16.237,119.9631737,-10.75434261
G-69-g-r=0.45,07 59 53.4236,-10 44 18.3076,G2 V,Y,18.1985,16.655,16.318,16.241,119.9725983,-10.73841878
G-70-g-r=0.44,07 59 51.0596,-10 48 14.4689,G2 V,Y,18.2526,16.738,16.391,16.299,119.9627483,-10.80401914
G-82-g-r=0.42,07 59 53.1934,-10 48 02.2438,G1 V,Y,18.1785,16.689,16.339,16.264,119.9716392,-10.80062328
G-26-g-r=0.45,08 00 04.4594,-10 47 12.6369,G2 V,Y,18.2707,16.758,16.395,16.325,120.0185808,-10.78684358
G-30-g-r=0.43,08 00 08.0999,-10 47 07.9700,G3 V,Y,18.2952,16.744,16.399,16.314,120.0337496,-10.78554722
G-23-g-r=0.44,08 00 02.9428,-10 44 51.5837,G2 V,Y,18.3168,16.76,16.399,16.317,120.0122617,-10.74766214
G-35-g-r=0.43,08 00 09.2061,-10 44 31.4184,G2 V,Y,18.2816,16.72,16.348,16.275,120.0383588,-10.74206067
G-41-g-r=0.46,08 00 13.3190,-10 43 46.3997,G3 V,Y,18.4697,16.856,16.473,16.398,120.0554958,-10.72955547
G-46-g-r=0.43,08 00 12.8514,-10 42 24.6860,G2 V,Y,18.0896,16.608,16.265,16.191,120.0535475,-10.70685722
G-55-g-r=0.46,08 00 09.8749,-10 43 09.5605,G1 V,Y,18.3093,16.767,16.391,16.326,120.0411454,-10.71932236