Name,Color (g-r),g,SpType,T Class,Lum Class,T Letter,Extra Class info,ra,dec,K mag,K mag err,J mag,H mag,T Group,coord hms
O-0738011+2136,0.4317,17.5335,G3 IV,G3,IV,G,,114.5047833,21.60140611,15.612,0.009,16.028,15.693,G3 IV to V,07 38 01.148 +21 36 05.062
O-0738027+2130,0.4305,17.3943,G2 V,G2,V,G,,114.5114833,21.51584444,15.517,0.008,15.913,15.587,G2 IV to V,07 38 02.756 +21 30 57.04
O-0738031+2129,0.3789,17.1389,G1 IV-V,G1,IV-V,G,,114.5132,21.49891667,15.409,0.007,15.771,15.46,G1 IV to V,07 38 03.168 +21 29 56.1
O-0738080+2137,0.4193,17.3545,G1 IV,G1,IV,G,,114.5337292,21.61885639,15.514,0.008,15.917,15.588,G1 IV to V,07 38 08.095 +21 37 07.883
O-0738161+2132,0.439,17.4739,G2 V,G2,V,G,,114.5671167,21.54187,15.586,0.008,15.993,15.651,G2 IV to V,07 38 16.108 +21 32 30.732
O-0738170+2136,0.4279,17.4004,G1 V,G1,V,G,,114.5710958,21.60606583,15.446,0.008,15.882,15.53,G1 IV to V,07 38 17.063 +21 36 21.837
O-0738171+2139,0.3972,17.3285,G2 IV-V,G2,IV-V,G,,114.5714,21.6510925,15.502,0.008,15.896,15.568,G2 IV to V,07 38 17.136 +21 39 03.933
O-0738245+2134,0.4323,17.5085,G3 V,G3,V,G,,114.6021167,21.58001889,15.555,0.008,16.004,15.642,G3 IV to V,07 38 24.508 +21 34 48.068
O-0738284+2133,0.3986,17.2379,G1 V,G1,V,G,,114.6186167,21.55805778,15.464,0.008,15.837,15.509,G1 IV to V,07 38 28.468 +21 33 29.008
O-0738286+2134,0.4045,17.347,G1 IV-V,G1,IV-V,G,,114.619325,21.57439222,15.54,0.008,15.926,15.588,G1 IV to V,07 38 28.638 +21 34 27.812
O-0738395+2139,0.3891,17.1814,G1 IV,G1,IV,G,,114.6647625,21.65425306,15.4,0.007,15.766,15.457,G1 IV to V,07 38 39.543 +21 39 15.311
O-0738411+2128,0.4024,17.2767,G1 IV-V,G1,IV-V,G,,114.67145,21.47443389,15.473,0.008,15.853,15.515,G1 IV to V,07 38 41.148 +21 28 27.962
O-0738500+2128,0.4574,17.4889,G3 IV,G3,IV,G,,114.7087292,21.47321694,15.502,0.008,15.915,15.534,G3 IV to V,07 38 50.095 +21 28 23.581